Equipamento,Descritivo,Data Abertura,Data Encerramento
Máquina 1,Problema de superaquecimento no motor,10/01/2022 08:00:00,10/01/2022 13:30:00
Máquina 3,Falha elétrica no painel de controle,05/02/2022 15:45:00,06/02/2022 09:20:00
Máquina 2,Vazamento de óleo no sistema hidráulico,12/03/2022 11:30:00,13/03/2022 14:10:00
Máquina 4,Quebra de rolamento na esteira,18/04/2022 06:20:00,19/04/2022 11:50:00
Máquina 1,Problema no acionamento do sistema pneumático,22/05/2022 13:10:00,23/05/2022 08:40:00
Máquina 3,Erro no software do PLC,28/06/2022 10:50:00,29/06/2022 16:15:00
Máquina 4,Desalinhamento de eixo no motor principal,31/07/2022 14:25:00,01/08/2022 11:30:00
Máquina 2,Falha na bomba hidráulica,20/08/2022 17:40:00,21/08/2022 10:00:00
Máquina 3,Queima de fusível no circuito de controle,14/09/2022 09:15:00,15/09/2022 13:20:00
Máquina 1,Problema no sensor de temperatura do motor,20/10/2022 10:30:00,21/10/2022 15:10:00
Máquina 2,Pane elétrica no quadro de distribuição,30/11/2022 14:10:00,01/12/2022 08:20:00
Máquina 4,Desgaste prematuro em engrenagem do redutor,18/12/2022 09:20:00,19/12/2022 16:45:00
Máquina 1,Bloqueio no sistema de alimentação de matéria-prima,05/01/2023 13:40:00,06/01/2023 10:15:00
Máquina 3,Problema de vazamento de ar comprimido,22/02/2023 11:00:00,23/02/2023 15:30:00
